epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.6337,2.83856,36.85,1.42081,0.5555,0.46251,0.40768,0.11022,2.72032,1.69488,1.22675,0.000658915,0.000658915,0.000658915
2,41.2292,2.21712,1.77639,1.14565,0.46365,0.58069,0.41661,0.14396,2.22815,2.29048,1.20415,0.00130371,0.00130371,0.00130371
3,60.8864,2.15903,1.49635,1.1249,0.62056,0.57034,0.49709,0.13551,2.61926,3.00565,1.18553,0.0019265,0.0019265,0.0019265
4,79.9522,2.11041,1.44476,1.10701,0.70721,0.5564,0.60138,0.21035,2.27879,1.38615,1.13238,0.001901,0.001901,0.001901
5,99.277,2.0725,1.33088,1.09883,0.39118,0.30038,0.2653,0.07165,2.73372,2.18042,1.20829,0.001868,0.001868,0.001868
6,118.246,2.03392,1.30467,1.08744,0.48407,0.49049,0.41257,0.14008,2.42685,1.60061,1.14003,0.001835,0.001835,0.001835
7,137.581,1.95601,1.25585,1.06782,0.78928,0.68188,0.76252,0.2942,2.02861,1.24449,1.07704,0.001802,0.001802,0.001802
8,156.948,1.9709,1.19833,1.0693,0.62702,0.68608,0.61357,0.22633,2.0416,1.22636,1.06537,0.001769,0.001769,0.001769
9,176.203,1.9131,1.19266,1.05078,0.80666,0.71356,0.74975,0.28779,2.14246,1.22584,1.07616,0.001736,0.001736,0.001736
10,195.615,1.89428,1.15892,1.04102,0.71898,0.66799,0.67291,0.23145,2.12109,1.2864,1.05447,0.001703,0.001703,0.001703
11,214.67,1.90821,1.16965,1.05681,0.67153,0.62104,0.58896,0.17829,2.48735,1.35545,1.09329,0.00167,0.00167,0.00167
12,233.995,1.86378,1.14441,1.04455,0.76938,0.70469,0.73662,0.29085,2.02095,1.18276,1.05007,0.001637,0.001637,0.001637
13,253.399,1.86384,1.14001,1.03844,0.74975,0.70629,0.72223,0.27399,2.04497,1.89441,1.05117,0.001604,0.001604,0.001604
14,272.466,1.81736,1.1306,1.01222,0.82128,0.72117,0.7814,0.30994,2.02339,1.09301,1.04291,0.001571,0.001571,0.001571
15,291.581,1.82172,1.06345,1.02091,0.79003,0.73916,0.7886,0.32285,1.94865,1.08078,1.0495,0.001538,0.001538,0.001538
16,310.67,1.81416,1.06964,1.02201,0.82522,0.73764,0.793,0.32019,1.99298,1.12542,1.03207,0.001505,0.001505,0.001505
17,330.02,1.7945,1.04646,1.0219,0.77169,0.73256,0.76685,0.30167,2.09926,1.13232,1.04763,0.001472,0.001472,0.001472
18,348.963,1.78771,1.03602,1.01501,0.80899,0.75158,0.81927,0.3656,1.85593,1.08078,1.02419,0.001439,0.001439,0.001439
19,368.018,1.76716,1.0374,1.0123,0.80896,0.76046,0.81498,0.33759,1.96695,1.03548,1.04198,0.001406,0.001406,0.001406
20,387.029,1.77522,1.03039,1.01386,0.79511,0.73131,0.75735,0.29486,2.09775,1.11721,1.04283,0.001373,0.001373,0.001373
21,406.496,1.76976,1.00358,1.00466,0.80454,0.69386,0.78559,0.32541,1.96263,1.03604,1.05009,0.00134,0.00134,0.00134
22,425.62,1.71464,0.96927,0.99985,0.85582,0.75234,0.83754,0.36576,1.87262,0.97139,1.02447,0.001307,0.001307,0.001307
23,444.594,1.74845,0.98799,0.99945,0.83945,0.73764,0.80184,0.33398,1.91679,1.08734,1.029,0.001274,0.001274,0.001274
24,463.739,1.75588,0.99576,1.00511,0.83955,0.74651,0.81198,0.33868,1.99568,1.05844,1.03177,0.001241,0.001241,0.001241
25,482.83,1.71982,0.97139,0.99846,0.80611,0.73764,0.75942,0.28491,2.19786,1.0942,1.04983,0.001208,0.001208,0.001208
26,501.977,1.72122,0.98056,0.99559,0.8529,0.74651,0.82855,0.37423,1.79272,0.9405,1.00784,0.001175,0.001175,0.001175
27,521.162,1.71645,0.97114,0.99325,0.86092,0.75919,0.82922,0.35948,1.87439,0.99207,1.0186,0.001142,0.001142,0.001142
28,540.183,1.7077,0.94659,0.99338,0.83045,0.75919,0.83119,0.36372,1.86644,0.94506,1.02218,0.001109,0.001109,0.001109
29,559.252,1.67975,0.9472,0.99164,0.86808,0.74651,0.83012,0.35248,1.89181,0.96739,1.01259,0.001076,0.001076,0.001076
30,578.277,1.67351,0.92349,0.98685,0.82272,0.78227,0.84328,0.37866,1.80149,0.94121,1.01597,0.001043,0.001043,0.001043
31,597.352,1.67113,0.94315,0.98636,0.85098,0.7672,0.83942,0.38072,1.82734,0.93754,1.01529,0.00101,0.00101,0.00101
32,616.44,1.69487,0.92918,0.99293,0.84637,0.77313,0.8292,0.34009,1.9807,1.01183,1.03835,0.000977,0.000977,0.000977
33,635.404,1.66741,0.90751,0.97741,0.80678,0.74398,0.77165,0.30193,2.09945,1.01935,1.04456,0.000944,0.000944,0.000944
34,654.69,1.67765,0.92926,0.98514,0.86193,0.75959,0.8251,0.36252,1.87366,0.9422,1.01203,0.000911,0.000911,0.000911
35,673.84,1.67691,0.92058,0.98443,0.86856,0.77567,0.84417,0.37328,1.82751,0.93392,1.00889,0.000878,0.000878,0.000878
36,693.37,1.65768,0.89474,0.9841,0.85642,0.76806,0.82585,0.35827,1.91587,0.97614,1.01664,0.000845,0.000845,0.000845
37,712.516,1.69934,0.90663,0.98776,0.83562,0.74525,0.8191,0.34487,1.95123,0.95849,1.01623,0.000812,0.000812,0.000812
38,731.523,1.64036,0.9039,0.97254,0.8467,0.77702,0.82194,0.33741,2.0003,0.97114,1.02493,0.000779,0.000779,0.000779
39,750.699,1.63185,0.87895,0.97103,0.86477,0.77808,0.83173,0.35466,1.91887,0.99079,1.00675,0.000746,0.000746,0.000746
40,769.724,1.65438,0.8965,0.97363,0.86436,0.76933,0.84049,0.37312,1.83558,0.9502,1.01248,0.000713,0.000713,0.000713
41,789.179,1.64324,0.88036,0.97133,0.83258,0.79419,0.83309,0.37011,1.8581,1.00632,1.00243,0.00068,0.00068,0.00068
42,808.17,1.6434,0.89875,0.97331,0.83946,0.78454,0.83522,0.36801,1.88146,0.95004,1.00128,0.000647,0.000647,0.000647
43,827.259,1.62627,0.85875,0.96831,0.85001,0.77567,0.82167,0.3588,1.89409,0.91765,0.99852,0.000614,0.000614,0.000614
44,846.361,1.61174,0.86215,0.96223,0.8503,0.81369,0.86701,0.39321,1.75416,0.87145,0.99407,0.000581,0.000581,0.000581
45,865.318,1.60103,0.85203,0.96294,0.86134,0.77153,0.84495,0.38968,1.7685,0.92965,0.99204,0.000548,0.000548,0.000548
46,884.407,1.60602,0.8623,0.96261,0.87901,0.79188,0.8705,0.41243,1.71045,0.85673,0.98214,0.000515,0.000515,0.000515
47,903.467,1.61053,0.85553,0.96393,0.82935,0.82003,0.8595,0.40378,1.71926,0.8894,0.98999,0.000482,0.000482,0.000482
48,922.66,1.59222,0.82421,0.96639,0.84731,0.81622,0.86284,0.4023,1.75984,0.89297,0.98754,0.000449,0.000449,0.000449
49,941.794,1.58403,0.8363,0.95789,0.86107,0.80101,0.85779,0.40891,1.73488,0.8756,0.9922,0.000416,0.000416,0.000416
50,960.699,1.59763,0.83675,0.96982,0.84492,0.81115,0.87179,0.40929,1.70156,0.85961,0.98602,0.000383,0.000383,0.000383
51,1004.67,1.52819,0.77968,0.9478,0.8665,0.82267,0.86954,0.40752,1.71684,0.85573,0.9794,0.00035,0.00035,0.00035
52,1023.8,1.53279,0.77874,0.94618,0.87463,0.8135,0.8738,0.41087,1.73702,0.86233,0.98302,0.000317,0.000317,0.000317
53,1043.05,1.52644,0.76934,0.94554,0.89459,0.80669,0.8768,0.4206,1.75861,0.84876,0.99128,0.000284,0.000284,0.000284
54,1062.07,1.53269,0.7731,0.95045,0.87966,0.81749,0.87337,0.41803,1.72482,0.85929,0.98188,0.000251,0.000251,0.000251
55,1081.07,1.51464,0.76573,0.94335,0.88544,0.81749,0.87691,0.4251,1.70541,0.83306,0.98498,0.000218,0.000218,0.000218
56,1100.1,1.5303,0.76171,0.94206,0.88439,0.81439,0.87479,0.4131,1.74766,0.8441,0.99143,0.000185,0.000185,0.000185
57,1119.09,1.49806,0.75108,0.94302,0.87651,0.82256,0.8745,0.41884,1.73333,0.8356,0.99517,0.000152,0.000152,0.000152
58,1138.18,1.49344,0.75128,0.94098,0.87819,0.81322,0.87801,0.42121,1.70162,0.83298,0.99011,0.000119,0.000119,0.000119
59,1157.36,1.50351,0.74485,0.94384,0.87033,0.81242,0.87228,0.42227,1.68866,0.83378,0.98575,8.6e-05,8.6e-05,8.6e-05
60,1176.83,1.49182,0.73991,0.94041,0.87215,0.82138,0.87879,0.42222,1.69298,0.83404,0.98773,5.3e-05,5.3e-05,5.3e-05
